Gene	Gene score (% variance explained by pseudotime)				
Zm00001d016286	50.2				
Zm00001d048926	50.2				
Zm00001d014128	50.1				
Zm00001d030014	50.1				
Zm00001d043341	50.1				
MSTRG.8986	50				
Zm00001d039455	50				
MSTRG.15266	50				
MSTRG.19792	50				
Zm00001d039623	50				
Zm00001d034595	50				
Zm00001d023373	49.9				
Zm00001d051885	49.9				
Zm00001d036741	49.9				
Zm00001d024815	49.9				
Zm00001d002395	49.9				
MSTRG.11615	49.9				
Zm00001d051628	49.8				
Zm00001d044367	49.8				
Zm00001d019358	49.7				
Zm00001d017201	49.6				
Zm00001d033467	49.6				
Zm00001d029459	49.6				
MSTRG.18061	49.5				
Zm00001d049597	49.4				
MSTRG.14703	49.4				
MSTRG.18497	49.3				
Zm00001d031168	49.3				
MSTRG.18425	49.3				
Zm00001d012092	49.2				
Zm00001d025724	49.2				
MSTRG.19528	49.1				
Zm00001d046937	49.1				
Zm00001d043751	49.1				
Zm00001d039106	49				
Zm00001d017890	49				
Zm00001d034790	48.9				
Zm00001d018526	48.9				
Zm00001d011246	48.8				
Zm00001d051861	48.8				
Zm00001d033535	48.8				
MSTRG.14582	48.8				
Zm00001d016572	48.7				
MSTRG.16372	48.7				
Zm00001d042409	48.7				
Zm00001d040107	48.7				
MSTRG.5323	48.6				
Zm00001d009702	48.6				
MSTRG.14331	48.6				
Zm00001d009564	48.5				
Zm00001d030194	48.5				
Zm00001d034422	48.5				
Zm00001d035841	48.5				
Zm00001d022141	48.4				
Zm00001d005498	48.4				
Zm00001d035872	48.4				
Zm00001d035920	48.4				
Zm00001d042584	48.4				
MSTRG.9909	48.4				
Zm00001d002316	48.3				
Zm00001d038929	48.2				
Zm00001d039133	48.2				
Zm00001d043022	48.2				
MSTRG.18496	48.1				
MSTRG.2477	48.1				
Zm00001d020315	48				
MSTRG.19113	48				
Zm00001d052411	48				
Zm00001d015327	48				
Zm00001d003941	48				
Zm00001d031908	47.9				
Zm00001d013300	47.9				
MSTRG.7310	47.9				
Zm00001d025575	47.9				
Zm00001d017566	47.8				
MSTRG.59	47.8				
Zm00001d046438	47.7				
Zm00001d033278	47.7				
MSTRG.5594	47.7				
Zm00001d051685	47.6				
Zm00001d045533	47.6				
Zm00001d032111	47.6				
Zm00001d011994	47.6				
Zm00001d006866	47.5				
Zm00001d005402	47.5				
Zm00001d007890	47.4				
Zm00001d044172	47.3				
Zm00001d005276	47.3				
Zm00001d028830	47.3				
Zm00001d018515	47.2				
Zm00001d050575	47.2				
Zm00001d010790	47.2				
Zm00001d023808	47.2				
MSTRG.18879	47.2				
Zm00001d037498	47.2				
Zm00001d053359	47.1				
Zm00001d004015	47.1				
Zm00001d025991	47.1				
Zm00001d042454	47				
Zm00001d047449	47				
MSTRG.10995	47				
Zm00001d036664	47				
Zm00001d019326	47				
Zm00001d024408	46.9				
Zm00001d031929	46.8				
Zm00001d043942	46.8				
Zm00001d026649	46.8				
Zm00001d036613	46.8				
Zm00001d050208	46.8				
Zm00001d028529	46.7				
MSTRG.3067	46.7				
Zm00001d010731	46.7				
Zm00001d002962	46.7				
Zm00001d024839	46.6				
Zm00001d034491	46.6				
MSTRG.13548	46.6				
Zm00001d036666	46.6				
Zm00001d010495	46.6				
Zm00001d048440	46.4				
Zm00001d038351	46.4				
MSTRG.17114	46.4				
Zm00001d032238	46.3				
Zm00001d035094	46.3				
Zm00001d003846	46.3				
Zm00001d009879	46.3				
Zm00001d051498	46.3				
Zm00001d025665	46.3				
Zm00001d039213	46.2				
Zm00001d007145	46.2				
Zm00001d053630	46.2				
Zm00001d025166	46.2				
Zm00001d007503	46.2				
Zm00001d031205	46.1				
Zm00001d038318	46.1				
Zm00001d002889	46.1				
Zm00001d049753	46.1				
Zm00001d045783	46				
Zm00001d006844	46				
Zm00001d027519	46				
MSTRG.4185	46				
Zm00001d034750	45.9				
Zm00001d025522	45.9				
MSTRG.18317	45.9				
Zm00001d035761	45.8				
Zm00001d049619	45.8				
Zm00001d006871	45.7				
Zm00001d037346	45.6				
Zm00001d025413	45.6				
Zm00001d006899	45.6				
Zm00001d051804	45.6				
Zm00001d042363	45.6				
Zm00001d034037	45.6				
MSTRG.2094	45.6				
Zm00001d013812	45.5				
Zm00001d009211	45.5				
Zm00001d038917	45.5				
Zm00001d023664	45.5				
Zm00001d033262	45.5				
Zm00001d052385	45.4				
Zm00001d039211	45.4				
MSTRG.530	45.4				
Zm00001d053595	45.4				
Zm00001d022181	45.3				
MSTRG.15153	45.3				
Zm00001d006582	45.3				
Zm00001d045993	45.3				
MSTRG.17275	45.3				
Zm00001d043195	45.3				
Zm00001d047289	45.2				
Zm00001d004934	45.2				
Zm00001d054065	45.1				
MSTRG.9775	45.1				
Zm00001d021140	45.1				
Zm00001d013108	45.1				
Zm00001d040190	45.1				
Zm00001d005818	45.1				
Zm00001d006610	45.1				
Zm00001d053228	45				
Zm00001d032781	45				
Zm00001d042695	45				
Zm00001d033579	45				
Zm00001d035666	44.9				
Zm00001d019724	44.9				
Zm00001d052964	44.9				
Zm00001d047015	44.9				
Zm00001d049729	44.8				
Zm00001d007496	44.8				
Zm00001d045451	44.8				
MSTRG.16730	44.8				
MSTRG.10147	44.8				
Zm00001d025401	44.8				
Zm00001d010975	44.7				
Zm00001d048409	44.7				
Zm00001d052113	44.7				
Zm00001d049629	44.7				
Zm00001d020531	44.7				
Zm00001d022237	44.7				
MSTRG.16623	44.7				
Zm00001d029177	44.6				
Zm00001d030795	44.6				
Zm00001d019600	44.6				
Zm00001d042929	44.6				
Zm00001d051441	44.6				
Zm00001d028919	44.6				
Zm00001d022179	44.5				
Zm00001d005695	44.5				
Zm00001d037227	44.5				
Zm00001d031707	44.5				
Zm00001d049790	44.5				
Zm00001d014880	44.4				
Zm00001d012161	44.4				
Zm00001d033537	44.4				
Zm00001d034983	44.4				
Zm00001d036654	44.4				
Zm00001d038506	44.3				
Zm00001d014813	44.3				
Zm00001d013999	44.3				
Zm00001d022469	44.3				
Zm00001d006296	44.2				
MSTRG.13560	44.2				
Zm00001d003157	44.2				
Zm00001d051675	44.2				
Zm00001d028653	44.2				
Zm00001d007302	44.1				
Zm00001d008326	44.1				
Zm00001d051504	44.1				
Zm00001d041750	44				
Zm00001d031627	44				
Zm00001d053979	44				
Zm00001d012633	43.9				
Zm00001d035337	43.9				
Zm00001d050526	43.9				
MSTRG.17763	43.9				
MSTRG.2148	43.9				
Zm00001d028114	43.9				
Zm00001d018903	43.8				
Zm00001d025170	43.8				
Zm00001d016472	43.8				
