Cell Number	Plant Number	Anther size (mm)	Date planted	Date harvested	Time from harvest to isolation	Cell diameter (um)	RT primer barcode (rep1)	Illumina barcode (rep1)	RT primer barcode (rep2)	Illumina barcode (rep2)	Quality control	Expression stage	Cell cycle phase																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
109	10	0.32	05/10/17	06/08/17	01:39:10	19.2	dT_1s	RPI7	dT_31s	RPI6	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
110	11	0.7	05/10/17	06/08/17	01:27:52	24.5	dT_10s	RPI21	dT_5s	RPI29	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
111	11	0.7	05/10/17	06/08/17	01:28:42	21.8	dT_25s	RPI21	dT_46s	RPI29	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
112	11	0.7	05/10/17	06/08/17	01:29:20	23.3	dT_23s	RPI21	dT_9s	RPI29	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
113	11	0.7	05/10/17	06/08/17	01:29:48	25.7	dT_19s	RPI21	dT_1s	RPI29	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
114	11	0.7	05/10/17	06/08/17	01:30:24	25.7	dT_4s	RPI21	dT_26s	RPI29	PASS	AR	M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
115	11	0.7	05/10/17	06/08/17	01:30:50	24.5	dT_1s	RPI21	dT_101X	RPI29	PASS	AR	G2/M																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
116	11	0.7	05/10/17	06/08/17	01:31:28	NA	dT_46s	RPI21	dT_2s	RPI29	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
117	11	0.7	05/10/17	06/08/17	01:32:04	22.7	dT_9s	RPI21	dT_23s	RPI29	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
118	12	0.28	05/10/17	06/08/17	01:25:40	21.2	dT_6s	RPI19	dT_1s	RPI12	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
119	12	0.28	05/10/17	06/08/17	01:26:22	27.1	dT_102X	RPI19	dT_5s	RPI12	PASS	AR	S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
120	12	0.28	05/10/17	06/08/17	01:27:44	23.6	dT_46s	RPI19	dT_31s	RPI12	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
121	12	0.28	05/10/17	06/08/17	01:28:06	20.9	dT_25s	RPI19	dT_23s	RPI12	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
122	12	0.28	05/10/17	06/08/17	01:29:02	19.5	dT_23s	RPI19	dT_9s	RPI12	PASS	AR	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
123	12	0.28	05/10/17	06/08/17	01:30:12	20.1	dT_9s	RPI19	dT_19s	RPI12	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
124	12	0.28	05/10/17	06/08/17	01:30:38	24.5	dT_19s	RPI19	dT_6s	RPI12	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
125	12	0.28	05/10/17	06/08/17	01:31:58	18.9	dT_26s	RPI19	dT_46s	RPI12	PASS	AR	G1/S																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
126	13	1.04	05/10/17	06/10/17	01:14:16	32.7	dT_4s	RPI28	dT_19s	RPI27	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
127	13	1.04	05/10/17	06/10/17	01:14:50	30.7	dT_1s	RPI28	dT_23s	RPI27	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
128	13	1.04	05/10/17	06/10/17	01:15:32	32.4	dT_6s	RPI28	dT_102X	RPI27	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
129	13	1.04	05/10/17	06/10/17	01:15:58	27.1	dT_2s	RPI28	dT_6s	RPI27	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
130	13	1.04	05/10/17	06/10/17	01:16:40	28.3	dT_26s	RPI28	dT_1s	RPI27	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
131	13	1.04	05/10/17	06/10/17	01:17:14	29.5	dT_102X	RPI28	dT_26s	RPI27	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
132	13	1.04	05/10/17	06/10/17	01:17:40	27.4	dT_9s	RPI28	dT_2s	RPI27	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
133	13	1.04	05/10/17	06/10/17	01:18:02	28.3	dT_25s	RPI28	dT_31s	RPI27	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
134	13	1.04	05/10/17	06/10/17	01:23:02	29.5	dT_37s	RPI4	dT_102X	RPI3	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
135	13	1.04	05/10/17	06/10/17	01:23:46	28.9	dT_23s	RPI4	dT_19s	RPI3	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
136	13	1.04	05/10/17	06/10/17	01:24:42	29.8	dT_101X	RPI4	dT_1s	RPI3	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
137	13	1.04	05/10/17	06/10/17	01:25:18	31.9	dT_6s	RPI4	dT_101X	RPI3	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
138	13	1.04	05/10/17	06/10/17	01:26:12	25.4	dT_26s	RPI4	dT_25s	RPI3	PASS	AR/PMC	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
139	13	1.04	05/10/17	06/10/17	01:27:02	26	dT_31s	RPI4	dT_2s	RPI3	PASS	M1	G1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
140	13	1.04	05/10/17	06/10/17	01:28:10	25.7	dT_25s	RPI4	dT_6s	RPI3	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
141	13	1.04	05/10/17	06/10/17	01:34:54	26.3	dT_2s	RPI4	dT_23s	RPI3	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
142	14	1.2	05/10/17	06/10/17	01:29:40	28	dT_102X	RPI5	dT_1s	RPI5	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
143	14	1.2	05/10/17	06/10/17	01:30:24	30.7	dT_31s	RPI5	dT_101X	RPI5	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
144	14	1.2	05/10/17	06/10/17	01:31:16	35.4	dT_46s	RPI5	dT_6s	RPI5	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
145	14	1.2	05/10/17	06/10/17	01:38:00	NA	dT_23s	RPI5	dT_9s	RPI5	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
146	14	1.2	05/10/17	06/10/17	01:38:44	31.6	dT_4s	RPI5	dT_25s	RPI5	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
147	14	1.2	05/10/17	06/10/17	01:42:56	31	dT_2s	RPI5	dT_26s	RPI5	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
148	14	1.2	05/10/17	06/10/17	01:43:44	26.3	dT_5s	RPI5	dT_10s	RPI5	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
149	14	1.2	05/10/17	06/10/17	01:45:14	28.9	dT_19s	RPI5	dT_37s	RPI5	FAIL	N.D.	N.D.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
150	15	1.45	05/19/17	06/19/17	01:16:52	38.9	dT_2s	RPI18	dT_26s	RPI11	PASS	MLT	mei																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
